,Week 1 Total,Week 1 Drives,2,Week 2 Success,Week 2 Failure,Running Success,Running Failure,3,Week 3 Success,Week 3 Failure,Running Success,Running Failure,3 Week,4,Week 4 Success,Week 4 Failure,Running Success,Running Failure,,5,Week 5 Success,Week 5 Failure,Running Success,Running Failure,,6,Week 6 Success,Week 6 Failure,Running Success,Running Failure,,7,Week 7 Success,Week 7 Failure,Running Success,Running Failure,,8,Week 8 Success,Week 8 Failure,Running Success,Running Failure,,9,Week 9 Success,Week 9 Failure,Running Success,Running Failure,,10,Week 10 Success,Week 10 Failure,Running Success,Running Failure,,11,Week 11 Success,Week 11 Failure,Running Success,Running Failure,,12,Week 12 Success,Week 12 Failure,Running Success,Running Failure,,13,Week 13 Success,Week 13 Failure,Running Success,Running Failure,,14,Week 14 Success,Week 14 Failure,Running Success,Running Failure,,15,Week 15 Success,Week 15 Failure,Running Success,Running Failure,,16,Week 16 Success,Week 16 Failure,Running Success,Running Failure,,17
DET,228,11,20.72727273,172,10,400,21,19.04761905,335,10,735,31,23.70967742,23.70967742,311,11,1046,42,26.38709677,24.9047619,263,9,1309,51,30.3,25.66666667,164,8,1473,59,26.35714286,24.96610169,232,9,1705,68,25.34615385,25.07352941,384,11,2089,79,27.85714286,26.44303797,307,10,2396,89,30.76666667,26.92134831,0,0,2396,89,32.9047619,26.92134831,446,14,2842,103,31.375,27.59223301,227,9,3069,112,29.26086957,27.40178571,242,10,3311,122,27.72727273,27.13934426,163,8,3474,130,23.40740741,26.72307692,280,11,3754,141,23.62068966,26.62411348,302,11,4056,152,24.83333333,26.68421053
GB,306,10,30.6,357,11,663,21,31.57142857,201,9,864,30,28.8,28.8,0,0,864,30,27.9,28.8,416,11,1280,41,30.85,31.2195122,345,11,1625,52,34.59090909,31.25,185,9,1810,61,30.51612903,29.67213115,278,9,2088,70,27.86206897,29.82857143,270,12,2358,82,24.43333333,28.75609756,516,14,2874,96,30.4,29.9375,335,11,3209,107,30.2972973,29.99065421,122,7,3331,114,30.40625,29.21929825,240,11,3571,125,24.03448276,28.568,341,13,3912,138,22.67741935,28.34782609,298,11,4210,149,25.11428571,28.25503356,408,14,4618,163,27.55263158,28.33128834
CHI,429,13,33,457,12,886,25,35.44,307,10,1193,35,34.08571429,34.08571429,234,9,1427,44,32.19354839,32.43181818,340,11,1767,55,29.36666667,32.12727273,263,12,2030,67,26.15625,30.29850746,245,10,2275,77,25.6969697,29.54545455,233,10,2508,87,23.15625,28.82758621,0,0,2508,87,23.9,28.82758621,351,11,2859,98,27.80952381,29.17346939,293,12,3152,110,28,28.65454545,298,11,3450,121,27.70588235,28.51239669,319,12,3769,133,26,28.33834586,203,9,3972,142,25.625,27.97183099,338,11,4310,153,26.875,28.16993464,391,11,4701,164,30.06451613,28.66463415
MIN,290,11,26.36363636,239,12,529,23,23,288,12,817,35,23.34285714,23.34285714,253,11,1070,46,22.28571429,23.26086957,311,11,1381,57,25.05882353,24.22807018,0,0,1381,57,25.63636364,24.22807018,350,13,1731,70,27.54166667,24.72857143,217,10,1948,80,24.65217391,24.35,237,11,2185,91,23.64705882,24.01098901,282,10,2467,101,23.74193548,24.42574257,391,12,2858,113,27.57575758,25.2920354,273,10,3131,123,29.5625,25.45528455,425,13,3556,136,31.11428571,26.14705882,223,10,3779,146,27.90909091,25.88356164,310,10,4089,156,29.03030303,26.21153846,437,12,4526,168,30.3125,26.94047619
ATL,286,12,23.83333333,212,11,498,23,21.65217391,214,9,712,32,22.25,22.25,287,12,999,44,22.28125,22.70454545,275,11,1274,55,24.25,23.16363636,449,12,1723,67,28.88571429,25.71641791,284,11,2007,78,29.64705882,25.73076923,274,9,2281,87,31.46875,26.2183908,306,10,2587,97,28.8,26.67010309,406,12,2993,109,31.80645161,27.4587156,0,0,2993,109,32.36363636,27.4587156,268,10,3261,119,30.63636364,27.40336134,145,8,3406,127,22.94444444,26.81889764,364,14,3770,141,24.28125,26.73758865,223,11,3993,152,22.18181818,26.26973684,372,12,4365,164,25.91891892,26.61585366
NO,315,11,28.63636364,236,11,551,22,25.04545455,293,9,844,31,27.22580645,27.22580645,408,13,1252,44,28.39393939,28.45454545,0,0,1252,44,31.86363636,28.45454545,459,14,1711,58,32.11111111,29.5,204,9,1915,67,28.82608696,28.58208955,244,9,2159,76,28.34375,28.40789474,348,12,2507,88,26.53333333,28.48863636,453,12,2960,100,31.66666667,29.6,405,11,3365,111,34.45714286,30.31531532,393,13,3758,124,34.75,30.30645161,274,9,4032,133,32.48484848,30.31578947,298,10,4330,143,30.15625,30.27972028,254,10,4584,153,28.48275862,29.96078431,233,9,4817,162,27.06896552,29.7345679
TB,370,12,30.83333333,345,12,715,24,29.79166667,347,12,1062,36,29.5,29.5,481,13,1543,49,31.7027027,31.48979592,239,10,1782,59,30.48571429,30.20338983,0,0,1782,59,31.30434783,30.20338983,368,12,2150,71,27.59090909,30.28169014,338,14,2488,85,27.15384615,29.27058824,383,11,2871,96,29.43243243,29.90625,325,13,3196,109,27.52631579,29.32110092,196,9,3392,118,27.39393939,28.74576271,236,11,3628,129,22.93939394,28.12403101,260,10,3888,139,23.06666667,27.97122302,211,10,4099,149,22.80645161,27.51006711,443,12,4542,161,28.5625,28.21118012,299,10,4841,171,29.78125,28.30994152
CAR,263,10,26.3,543,17,806,27,29.85185185,359,12,1165,39,29.87179487,29.87179487,272,13,1437,52,27.95238095,27.63461538,373,12,1810,64,27.13513514,28.28125,285,13,2095,77,24.47368421,27.20779221,0,0,2095,77,26.32,27.20779221,288,12,2383,89,22.92,26.7752809,257,11,2640,100,23.69565217,26.4,306,10,2946,110,25.78787879,26.78181818,281,12,3227,122,25.57575758,26.45081967,402,13,3629,135,28.25714286,26.88148148,325,11,3954,146,28,27.08219178,268,13,4222,159,26.89189189,26.55345912,302,14,4524,173,23.55263158,26.15028902,367,11,4891,184,24.65789474,26.58152174
LAR,342,14,24.42857143,170,10,512,24,21.33333333,370,13,882,37,23.83783784,23.83783784,326,12,1208,49,24.74285714,24.65306122,374,11,1582,60,29.72222222,26.36666667,243,8,1825,68,30.41935484,26.83823529,279,13,2104,81,28,25.97530864,0,0,2104,81,24.85714286,25.97530864,314,11,2418,92,24.70833333,26.2826087,195,11,2613,103,23.13636364,25.36893204,300,13,2913,116,23.11428571,25.11206897,413,13,3326,129,24.54054054,25.78294574,359,13,3685,142,27.48717949,25.95070423,347,13,4032,155,28.69230769,26.01290323,338,10,4370,165,29,26.48484848,374,14,4744,179,28.62162162,26.5027933
ARI,247,10,24.7,360,14,607,24,25.29166667,473,14,1080,38,28.42105263,28.42105263,364,12,1444,50,29.925,28.88,256,15,1700,65,26.65853659,26.15384615,209,10,1909,75,22.40540541,25.45333333,326,13,2235,88,20.81578947,25.39772727,375,11,2610,99,26.76470588,26.36363636,0,0,2610,99,29.20833333,26.36363636,336,11,2946,110,32.31818182,26.78181818,331,12,3277,122,29,26.86065574,361,10,3638,132,31.15151515,27.56060606,295,10,3933,142,30.84375,27.6971831,545,14,4478,156,35.32352941,28.70512821,428,12,4906,168,35.22222222,29.20238095,454,13,5360,181,36.58974359,29.61325967
SF,439,14,31.35714286,445,14,884,28,31.57142857,456,13,1340,41,32.68292683,32.68292683,280,10,1620,51,31.91891892,31.76470588,599,15,2219,66,35.13157895,33.62121212,392,13,2611,79,33.44736842,33.05063291,343,13,2954,92,32.53658537,32.10869565,0,0,2954,92,28.26923077,32.10869565,370,13,3324,105,27.42307692,31.65714286,301,13,3625,118,25.80769231,30.72033898,394,12,4019,130,28.02631579,30.91538462,348,11,4367,141,28.97222222,30.97163121,347,12,4714,153,31.11428571,30.81045752,362,13,5076,166,29.36111111,30.57831325,326,11,5402,177,28.75,30.51977401,503,14,5905,191,31.34210526,30.91623037
SEA,385,12,32.08333333,237,10,622,22,28.27272727,403,12,1025,34,30.14705882,30.14705882,223,11,1248,45,26.15151515,27.73333333,0,0,1248,45,27.2173913,27.73333333,252,12,1500,57,20.65217391,26.31578947,399,14,1899,71,25.03846154,26.74647887,242,9,2141,80,25.51428571,26.7625,314,10,2455,90,28.93939394,27.27777778,235,10,2690,100,27.27586207,26.9,304,13,2994,113,25.84848485,26.49557522,398,12,3392,125,26.77142857,27.136,335,12,3727,137,28.02702703,27.20437956,555,14,4282,151,33.89473684,28.35761589,190,9,4472,160,30.85714286,27.95,421,14,4893,174,31.51351351,28.12068966
