,Week 1 Success,2,Week 2 Success,Running Average,3,Week 3 Success,Running Average,3 Week,4,Week 4 Success,Running Average,,5,Week 5 Success,Running Average,,6,Week 6 Success,Running Average,,7,Week 7 Success,Running Average,,8,Week 8 Success,Running Average,,9,Week 9 Success,Running Average,,10,Week 10 Success,Running Average,,11,Week 11 Success,Running Average,,12,Week 12 Success,Running Average,,13,Week 13 Success,Running Average,,14,Week 14 Success,Running Average,,15,Week 15 Success,Running Average,,16,Week 16 Success,Running Average,,17
NYG,1,1,3,2,2,-2,0.6666666667,0.6666666667,0.6666666667,-14,-3,-4.333333333,-3,-7,-3.8,-7.666666667,-3.8,4,-2.5,-5.666666667,-2.5,7,-1.142857143,1.333333333,-1.142857143,,-1.142857143,5.5,-1.142857143,5,-0.375,6,-0.375,1,-0.2222222222,3,-0.2222222222,6,0.4,4,0.4,14,1.636363636,7,1.636363636,-10,0.6666666667,3.333333333,0.6666666667,3,0.8461538462,2.333333333,0.8461538462,11,1.571428571,1.333333333,1.571428571,-5,1.133333333,3,1.133333333
NYJ,-1,-1,6,2.5,2.5,-21,-5.333333333,-5.333333333,-5.333333333,-10,-6.5,-8.333333333,-6.5,-18,-8.8,-16.33333333,-8.8,-25,-11.5,-17.66666667,-11.5,8,-8.714285714,-11.66666667,-8.714285714,3,-7.25,-4.666666667,-7.25,-4,-6.888888889,2.333333333,-6.888888889,-3,-6.5,-1.333333333,-6.5,,-6.5,-3.5,-6.5,-5,-6.363636364,-4,-6.363636364,-31,-8.416666667,-18,-8.416666667,6,-7.307692308,-10,-7.307692308,-21,-8.285714286,-15.33333333,-8.285714286,-38,-10.26666667,-17.66666667,-10.26666667
OAK,1,1,-7,-3,-3,7,0.3333333333,0.3333333333,0.3333333333,1,0.5,0.3333333333,0.5,3,1,3.666666667,1,-16,-1.833333333,-4,-1.833333333,17,0.8571428571,1.333333333,0.8571428571,6,1.5,2.333333333,1.5,10,2.444444444,11,2.444444444,,2.444444444,8,2.444444444,7,2.9,8.5,2.9,3,2.909090909,5,2.909090909,14,3.833333333,8,3.833333333,-8,2.923076923,3,2.923076923,3,2.928571429,3,2.928571429,8,3.266666667,1,3.266666667
PHI,19,19,15,17,17,31,21.66666667,21.66666667,21.66666667,,21.66666667,23,21.66666667,-1,16,15,16,-7,11.4,-4,11.4,11,11.33333333,1,11.33333333,-6,8.857142857,-0.6666666667,8.857142857,-5,7.125,0,7.125,9,7.333333333,-0.6666666667,7.333333333,-11,5.5,-2.333333333,5.5,-14,3.727272727,-5.333333333,3.727272727,-18,1.916666667,-14.33333333,1.916666667,-5,1.384615385,-12.33333333,1.384615385,-1,1.214285714,-8,1.214285714,5,1.466666667,-0.3333333333,1.466666667
PIT,22,22,8,15,15,-31,-0.3333333333,-0.3333333333,-0.3333333333,29,7,2,7,18,9.2,5.333333333,9.2,-15,5.166666667,10.66666667,5.166666667,-11,2.857142857,-2.666666667,2.857142857,,2.857142857,-13,2.857142857,-7,1.625,-9,1.625,-5,0.8888888889,-6,0.8888888889,15,2.3,1,2.3,21,4,10.33333333,4,10,4.5,15.33333333,4.5,7,4.692307692,12.66666667,4.692307692,4,4.642857143,7,4.642857143,4,4.6,5,4.6
LAC,-6,-6,24,9,9,-4,4.666666667,4.666666667,4.666666667,-1,3.25,6.333333333,3.25,-3,2,-2.666666667,2,8,3,1.333333333,3,3,3,2.666666667,3,-8,1.625,1,1.625,8,2.333333333,1,2.333333333,-7,1.4,-2.333333333,1.4,,1.4,0.5,1.4,8,2,0.5,2,-7,1.25,0.5,1.25,-12,0.2307692308,-3.666666667,0.2307692308,-3,0,-7.333333333,0,-3,-0.2,-6,-0.2
SEA,2,2,-6,-2,-2,19,5,5,5,10,6.25,7.666666667,6.25,,6.25,14.5,6.25,2,5.4,6,5.4,0,4.5,1,4.5,-5,3.142857143,-1,3.142857143,6,3.5,0.3333333333,3.5,7,3.888888889,2.666666667,3.888888889,11,4.6,8,4.6,-9,3.363636364,3,3.363636364,33,5.833333333,11.66666667,5.833333333,-28,3.230769231,-1.333333333,3.230769231,21,4.5,8.666666667,4.5,-3,4,-3.333333333,4
SF,28,28,-19,4.5,4.5,-19,-3.333333333,-3.333333333,-3.333333333,-7,-4.25,-15,-4.25,-12,-5.8,-12.66666667,-5.8,-29,-9.666666667,-16,-9.666666667,-17,-10.71428571,-19.33333333,-10.71428571,,-10.71428571,-23,-10.71428571,-18,-11.625,-17.5,-11.625,-3,-10.66666667,-10.5,-10.66666667,-13,-10.9,-11.33333333,-10.9,-7,-10.54545455,-7.666666667,-10.54545455,-20,-11.33333333,-13.33333333,-11.33333333,-6,-10.92307692,-11,-10.92307692,-28,-12.14285714,-18,-12.14285714,1,-11.26666667,-11,-11.26666667
TB,7,7,-33,-13,-13,-5,-10.33333333,-10.33333333,-10.33333333,-20,-12.75,-19.33333333,-12.75,3,-9.6,-7.333333333,-9.6,,-9.6,-8.5,-9.6,17,-5.166666667,10,-5.166666667,-6,-5.285714286,5.5,-5.285714286,-15,-6.5,-1.333333333,-6.5,26,-2.888888889,1.666666667,-2.888888889,2,-2.4,4.333333333,-2.4,9,-1.363636364,12.33333333,-1.363636364,7,-0.6666666667,6,-0.6666666667,5,-0.2307692308,7,-0.2307692308,-6,-0.6428571429,2,-0.6428571429,-7,-1.066666667,-2.666666667,-1.066666667
TEN,-9,-9,1,-4,-4,-7,-5,-5,-5,-7,-5.5,-4.333333333,-5.5,13,-1.8,-0.3333333333,-1.8,2,-1.166666667,2.666666667,-1.166666667,-8,-2.142857143,2.333333333,-2.142857143,14,-0.125,2.666666667,-0.125,-8,-1,-0.6666666667,-1,22,1.3,9.333333333,1.3,-7,0.5454545455,2.333333333,0.5454545455,6,1,7,1,,1,-0.5,1,3,1.153846154,4.5,1.153846154,2,1.214285714,2.5,1.214285714,-21,-0.2666666667,-5.333333333,-0.2666666667
WAS,-22,-22,-4,-13,-13,2,-8,-8,-8,11,-3.25,3,-3.25,6,-1.4,6.333333333,-1.4,7,0,8,0,-3,-0.4285714286,3.333333333,-0.4285714286,0,-0.375,1.333333333,-0.375,,-0.375,-1.5,-0.375,6,0.3333333333,3,0.3333333333,18,2.1,12,2.1,-5,1.454545455,6.333333333,1.454545455,-8,0.6666666667,1.666666667,0.6666666667,5,1,-2.666666667,1,-9,0.2857142857,-4,0.2857142857,20,1.6,5.333333333,1.6
